Prompt,Response
Deantpo@saitm.ac.in,"(a) State Schroeder-Bernstein Theorem.

(b) Evaluate the god of 190 and 34.

(c) Define zero divisor of a ring.

(d) Consider the permutation f = 1234567 3415672 on S={1,2,3,4,5,6,7). Express f as a product of transpositions.

(e) Define cut vertex in graph with suitable example.

(f) Define Chromatic number.
(a) State and prove distributive law of algebra of sets.

7.5

(b) Define bijective function. Prove that if fand g are one-one and onto functions, then gof is also one- one and onto.

7.5

3. (a) Define equivalence relation. Suppose that R_{I} and R_{2} are equivalence relations on set S. Determine whether each of these combinations of R_{1} and R_{2} must be an equivalence relation

(i)

R_{1} cap R 2

(ii) R_{1} cup R 2

Justify your answer.

(b) Define the following terms with suitable examples:

(i)

POSET

(ii)

Lattice

(iii) Proposition
4.

Unit-II

(a) How many people among 2,00,000 are born at the same time?

7.5

(b) Solve the recurrence relation a-2aa3r +5

7.5

5.

47

(a) How many permutations can be made out of the letters of the word DISCRETE? How many of these:

(i) Begin with D?

(ii) Begin with T and end with D?

end(iii) 'Dand T occupy the end places?

7.5

(b) Solve the recurrence relation a2-a1-a, = 0, by aring on the method of generating function with initial conditions a = 1 and a₁ = 1.

7.5

Unit-III

6. Define the following terms with suitable examples:

(i) Cyclic group

(ii) Integral Domain

(iii) Semi group

(iv) Coset

(v) Isomorphism of groups
1.

(i) Define Equivalence Relation.

(ii) Define Power set theorem and Schroeder Bernstein theorem.

(iii) State Pigeon-hole principle.

(iv) Define Recurrence relation with example.

(v) What is Group and Semi group.

(vi) State Normal subgroup.
. (a) Establish the logical equivalance [(p - q) -> r] Leftrightarrow[(p vee r)^(-(q^(-r)))] by truth table.

(b) Consider the following lattics:

(i) D_{20}

(ii) Dss

(iii) D_{99}

(iv) D_{130}

which of them are Boolean Algebra and what are their atoms.

3. (a) Is the Poset A = \{2, 3, 6, 12, 24, 36, 72\} under the relation of divisibility a lattice?

(b) Show that in a Boolean algebra for any a, b and cif a <= b then (i) a vee c<= b vee c( ii) a ^ c <= b ^ c

UNIT - II

4. Let A = \{1, 2, 3, 4, 5, 6\} resolve the following into disjoint cycles and find whether they are even or odd permutations:

(a) (4135) 0 (563)

(b) (53) 0 (4135)

3151- - (P - 4) * (C - 9)(22)
7. (a) Prove that the order of a subgroup is a divisor of order of a finite group, 7.5

(4)

3151

(b) Find the disjunctivé normal form for the Bolean function: 75

(x,y,z)=x+y+yz

Unit-IV

8. Write notes on the following:

(i) Eulerian graph and its applications

(ii) Hamiltonian graph and its application

(iii) Planar graph and its properties

(a) Define binary tree and its traversals. Draw the unique binary tree for the given Inorder and Postorder traversal: 15

Inorder:

4610 12 8 2

15 7 11

13 9 3

Postorder 12 10 8 6 4 2 13 11

7531

(b) What do you mean by Spanning Tree? Explain an algorithm to find Minimal spanning tree."
null,"null
null"
"null
null
null",null
"null
null
null
null",Kuch ho rh ??
nhi,"Okk
Kr di hu
On
Hey"
"null
null","null
null"
"null
null
null","null
chooti is formate ko word main create karo"
"send kra diya hai
null","## configure the input
'''xml
<Input Syslog>
Module im_tcp
Port 514
Exec $raw_event = stringtoxml($raw_event);
</Input>
'''
##configure ouput
<Output FileOut>
Module on_file
file""C:\\nxlog\\data\ubantu_logs.log""
CreateDirs true
</Output>
## link input and output
'''xml
<Route 1>
Path Syslog => FileOut
</Route>
'''"
"null
null","null
Answers hai bhot sare isme
Kr lena
Mil jaega toh"
Kon dal,Moong dal
"null
1000
Send kar dena",Okk
"Didi aap
Tb na hm aapna no Jyoti se save karege
Reply Mt dena vs hata dena
Hii
Kha ho didi
Kb aaogi aap class
Karne
null","Hyy
Kaha hai richa"
"Lab me
Or kha","Ohh
Me to clg aayi thi
Class shuru ho gya
??"
Ooo to kijia class,Ab aa kr kya krungi
Ooo,"Hn
Hy
Kaha ho richa"
"Class me hu
207
A block","Okk
Hy
Clg ja ri hai aaj
Tum"
Nhi,"Okk
Thank you baby ❣️"
"Umaa didi hm nhi aa paige raj ke Ghar se permission nhi mila koi na kabhi or aaige aapke room pe
Sorry par dil se happy bday
Sad Mt hona hm log nhi aai
Achche se enjoy karna
Kan Pakar ke sorry","Are it's okk
Are re itna koi jrurt nhi hai
Koi nhi bad me aana kbhi"
"Umaa
Ishi lia aap fev hi meri❤️","Hmm
Lekin bad me aana kbhi"
"Haa haa
Aaige
Puri sbji khane
Pet leke
Aaige
Jarur","😂
Jrur aana
Most welcome"
"English me mt bulao hm aa jaige
Don't worry 😉","Okk
null"
"Hii
Mere class ka h kya kou
Training me",Han hai
"Kon
Okk thanks or sorry didi disturb krne ke lia
Or aaj aap hmse milna
Okk","Koi bt ni
Ok"
Okk,"7
null
## configure the input
'''xml
<Input Syslog>
Module im_tcp
Port 514
Exec $raw_event = stringtoxml($raw_event);
</Input>
'''
##configure ouput
<Output FileOut>
Module on_file
file""C:\\nxlog\\data\ubantu_logs.log""
CreateDirs true
</Output>
## link input and output
'''xml
<Route 1>
Path Syslog => FileOut
</Route>
'''"
"All in one mixture 4 packet 
Saraf excel 3 packet
1 Dettol sabun
80 rupee ka higa",Yhi sb chhiye
"Kl aap aaogi
Haa
To de dege",Thik hai
"80 rupee se jyada ja mt lena ir mixture nhi milega to chor dena
Par sarf sabin ke lena",Thik hai
Thik,"Okk
Hy
Kaha hai
Suno na hum pahuchne wale hai
Ek pad lete aana
Thik hai"
"9929969496

Vishal // sapna ayega


Esper krwa dena ab",Kitne
5000,Ok
"Ohk
null
null
null
null
2.5 foot",null
"null
null","null
Bhai location bhej Dena jha room hai"
"Room farukhnagar
Me h 🥹",Wo pta hai exactly khaa hai farukhnagar me
Ola uber kr rhe ho kiya 🙃,"Hann
Mg road se krungi ola"
Ohk chor,??
Ohk,Tanisha garments and cosmetics
Pata na,Whi dikha rh hai google
Koi na,"Kya koi ba
Na
Tu aaega lene"
"Ha aeroplane
Se aa jauga 😂","Paidal aa ja
Whi bhot hai"
Pauch gya ghr m,"Okk
Mote
Yha ka address Dena Flipkart k liye"
Yes moti,Kuch order krna tha mko
"Kiya order krna h
Amazon se maga le",Slippers
Next day aa jayega,To address to de
Bazar se le aa 100 ruppe ki,"Ni mil ri achi
Online dekh rkhi hu
Whi lena hai"
"First floor 
Saini pg near ambedkar park 
Chand nagar road 

122506","👍
null
null"
null,"Ok
Dekh liyo"
"Heena
Ke phone per OTP ayega","Ruk bta ri
642657"
Dubara aya hoga bata,997879
"Batana
Dubara
Mmm
Vsh
Bas sn",Bol di hu bta de ri h
"Scan this to pay through PhonePe

8447245351@ybl


Pooja 


11700
Kr ke ss de
Cc.9186199876375959@axisbank 

Deepa 

6000","Aata
Chawal
Pyazz
Maggie
Pasta"
"...
....
...
..
..
.
.
.
.
null","Kya hua bol
null
Hi, recharge of Rs. 579 successfully credited to your Airtel number 8935835522, your pack will start from 18-11-2024 and will be valid till 12-01-2025. Your recharged plan will automatically get activated after expiry of your current plan"
"Ss de
Og msgg h
null
आपके एयरटेल नंबर 8130157647 पर रु579 का रीचार्ज सफलतापूर्वक हो गया है, आपका पैक 04-11-2024 से शुरू होगा और 29-12-2024 तक मान्य होगा। आपके वर्त्तमान प्लान की समाप्ति के बाद आपका रीचार्ज किया गया प्लान ऑटोमेटिकली शुरू हो जायेगा।
Ye kiya case h
null
Axis Neo credit card

6530470000550054

03/29. CVV. 074
792645
Kajal
Uth gya
Sir","??
Hyy mote
Ho gya free
Sunn 3kg ghee amul wla reliance order kr de
Yr
240/offico colony binjhar near shiv mandir  829122   Ramgarh cantt
Ye address hai"
"Kr
Bhej tere papa ke no","Rhne de abhi recharge ka
Bhai"
Ku,Aise hi
Ohk,"Hy mote
Sun sbi credit card k customer care number bhejna"
01139020202,Thank you
"Welcome 🤗
7690050100

Govind lakhara 

2200
+919050413512","Jeera
Tamatar
Maggie
Kale chana 
Surf Excel sabun(Rs10)-6 piece"
M nhi gya mittal ke ghr,Okk
Vapis aa rha hu,"Thik hai
Aalu tamatar pyaz mirchi or sbji me jo mn kre le lena
Thik hai"
"Filal Kiya
Kiya. H","Shimla mirch h
null"
"null
def PowerLimit(A, B):
    seconds = 0
    while A > 0 and B > 0:
        if A > B:
            A -= 2
            B += 1
        else:
            B -= 2
            A += 1
        if A > 0 and B > 0:
            seconds += 1
    return seconds

# Sample Input
A = int(input())
B = int(input())

# Output the result
print(PowerLimit(A, B))
import java.util.Scanner;

public class PowerLimit {

    public static int getMaxSeconds(int A, int B) {
        int seconds = 0;

        // Loop until at least one resource's power becomes <= 0
        while (A > 0 && B > 0) {
            if (A > B) {
                A -= 2; // Use resource A
                B += 1; // Recharge resource B
            } else {
                B -= 2; // Use resource B
                A += 1; // Recharge resource A
            }
            seconds++;
        }

        return seconds; // Return the total seconds the software can run
    }

    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);

        // Input for power of resources
        System.out.println(""Enter power of first resource (A): "");
        int A = scanner.nextInt();

        System.out.println(""Enter power of second resource (B): "");
        int B = scanner.nextInt();

        // Get the maximum number of seconds the software can run
        int result = getMaxSeconds(A, B);

        // Print the result
        System.out.println(""Maximum number of seconds: "" + result);

        scanner.close();
    }
}
Given 2 resources with powers A and B respectively. At each second, you have to select one resourcelout of 2 to run the software. The power of the resource at the time of selection should be greater than 1. Every second, the power of the selected resource gets reduced by 2 and the power of unselected resource gets charged by 1. The software stops when at least one resource has O power.

You are given integers A and B.

Print the maximum number of seconds your software can run if you select the resources optimally

Function description

Complete the function PowerLimit(). This function takes the following 2 parameters and returns the required answer:

• A: Represents the power of the first resource

B: Represents the power of the second resource

Input format for custom testing

Note: Use this input format if you are testing against custom input or writing code in a language where we don't provide boilerplate.code

• The first line contains an integer A denoting the power of the first resource.

The second line contains an integer B denoting the power of the second resource

Output format

Print the maximum number of seconds your software can run if you select the resources optimally

Output format

Print the maximum number of seconds your software can run if you select the resources optimally.

Constraints

1 ≤ A, B ≤ 100

Sample input

3

5

Sample output

6
FY675D587F0E4D018A30
9102247585@hdfcbank

Rishikesh chaudary 

15200
Ss dede
+919992202401","Naam kya hai
Wo to bta
Bhai motor band kr de"
"2827756923262
PV3Q-NGAZA6-2PJ",null
"Sadhan nhi mil rha h
Ghr jauga m
Mittal ke",Ok
